festival;artist;name;year;description
Pinkpop;Prodigy;Sanne;2010;Kwam op de derde dag moe en brak de tent uit, liep langs het podium en liep even naar binnen. Heb gedanst en gesprongen.
Pinkpop;Prodigy;Geert;2010;Het ging helemaal los toen ze begonnen te spelen.
Pinkpop;The Killers;Patrick;2013;Vooraan bij the Killers ben ik helemaal los gegaan. Hoogtepunt was dat ik de drumstick van de drummer heb gevangen. Die bewaar ik de rest van mijn leven.
Pinkpop;the Killers;Charlotte;2013;Mijn kennismaking met deze Las Vegas helden, wat was ik blij dat ze eindelijk op Pinkpop stonden.
Pinkpop;Arcade Fire;Lynn;2014;Het was het jaar van 'de storm'. Ik had Arcade fire nog nooit live gezien, had er helemaal zin in, helemala opgepept, wat ook een geweldig optreden toen opeens die donkere wolk over het mainstage heen trok. Je voelde de spanning in het publiek. Toen de bui uitbarsste speelde ze night time met dat caribisch tussenstukje en confetti wat totaal niet bij de storm paste. Die confetti plakte en de kleur gaf af dus iedereen was helemaal kleurrijk. Iedereen zag eruit als een soort discodip ijsje
Pinkpop;Arctic Monkeys;Jair;2014;I bet you look good on the dancefloor, wat was dat een moshpit!
Pinkpop;Bring me the horizon;Hidde;2016;Mijn eerste festival, toen ik 16 was. Op de 3FM stage, ervoor was een optreden geweest van All time Low, waar mijn sandaal was gesneuveld in de Moshpit. Toen probeerden we het te repareren met Duck Tape, maar dat lukte niet, en we wilden vooraan staan bij Bring me the Horizon. Toen probeerde ik in de menigte nog mn schoen te repareren, maar dat lukte natuurlijk niet want het was veel te druk. Ik stond daar met een rol ducktape, een meisje vroeg nog of ik haar poncho wilde repareren. Uiteindelijk begon het concert, ik stop mn ducktape weg en ga genieten. Mn hele schoen vergeten. Meeschreeuwen met de nummers, geweldig. Na het optreden kon ik de schoen weggooien, verder gegaan op blote voeten.
Pinkpop;Bruce Springsteen;Job;2016;Ik was samen met mijn vader en oom. Ik kende hem wel, maar niet zo goed als mijn vader en oom. Het was een geweldig optreden.
Pinkpop;Bush;Mark;2002;Ik ben een enorme live muziek liefhebber, maar kwam nooit aan festival toe. Toen stonden Live en Faithless op Pinkpop. Ik ben een enorme fan van Live en mijn vrouw van Faithless. Bush wilde ik ook even bekijken. Ik werd echt overvallen door Bush. Ze speelden een superstrakke set, we stonden schuin vooraan. In een ooghoek zag ik Live opkomen, maar Bush was zo geweldig, dus ben gebleven tot het eind.
Pinkpop;Doe Maar;Lammert;2016;Op een veld met 100 of misschien wel 1000 Rammstein fans naar Doe Maar kijken, want daarna kwam Rammstein. De een nog woester dan de ander, maar allemaal meezingen.
Pinkpop;Elbow;Patrick;2011;Mooie lenteavond, de ondergaande zon, de nog hangende warmte en dan die warme stem van Guy Garphy, dat klinkt zo mooi.
Pinkpop;Linkin Park;Anja;2012;"De laatste x dat ik Linkin Park live heb kunnen zien. RIP Chester Bennington."""
Pinkpop;Macklemore;Dylan;2012;Het was de afterparty op dag 2, heb ik een leuk meisje ontmoet. Toen draaiden ze Macklemore met can't hold us en ik had al een paar biertjes achter de kiezen dus bedacht dat ik een dansje ging doen om indruk te maken. Was een soort vogeltjes dans met de armgebaren passend bij de tekst. Na Pinkpop anderhalf jaar met haar gehad.
Pinkpop;Martin Garrix;Lieke;2017;Hallelujah, wat een vet feestje was dat.
Pinkpop;Muse;Manon;2015;Had nog nooit van Muse gehoord, was met een stel vrienden, ging voor het eerst naar Pinkpop. Vier uur van tevoren vooraanstaan, heb toen ook Elbow ontdekt. Toen kwam Muse, dat was nogal wat, Ik dacht holy fuck wat gebeurt er, allemaal vuur en de band kwam op. Sindsdien ben ik die hard Muse fan. 
Pinkpop;Passenger;Gijs;2017;Lekker relaxed, tijdens 'I hate' moest ik wel meezingen.
Pinkpop;Pearl Jam;Jan;1992;"Als Eddy Vedder ooit niet meer onder ons is, zullen deze beelden uitgezonden worden. Het moment dat hij tegen het publiek zegt ""you survived the rain"" klimt in de paal en vliegt een paar meter en klapt zo het publiek in."
Pinkpop;Queens of the Stone Age;Sanne;2013;Ik was een van de gelukkigen die bij het kleinschalige optreden mocht zijn in de 3 on stage container. Heel gaaf, eerst drie uur zitten wachten omdat hij niet kwam opdagen.
Pinkpop;Ramones;Dylan;nvt;Ik ga al sinds 2011 ieder jaar naar Pinkpop met mijn moeder. Dan bouwen we samen een feestje, in de dancehal op camping B. Elke avond worden de Ramones gedraaid 'hey, ho, lets go', en ieder jaar weer hetzelfde feestje. Als je zegt festival zeg je Ramones.
Pinkpop;Red Hot Chili Peppers;Bas;2016;Eerste pinkpop, ik ging erheen met mijn moeder. Ik ging niet speciaal voor de Red hot chili Peppers maar had wel gezien dat ze kwamen. Ik kende vooral under the bridge, maar ze speelden hem helemaal niet. Toch werd het door dat optreden een van mijn lievelings bands.
Pinkpop;Robbie Williams;Micha;2015;Altijd live dvd's gezien, maar nooit de kans gehad hem echt live te zien. Op pinkpop kwam die droom uit. Ik stond vooraan, ik kon hem nog net niet ruiken, heb alles keihard meegzongen. Het zal nooit meer zo leuk worden als toen. 
Pinkpop;Sean Paul;Charlotte;2017;Ik was met mijn vriendinnen, we kwamen van Imagine Dragons af, wat al geweldig was. En gingen toen snel naar Sean Paul, maar we hadden niet heel veel verwachtingen. Toen kwamen we daar aan en zag het zwart van de mensen. Het ging helemaal los, we waren kapot na afloop want we hebben alleen maar staan springen en dansen. Was echt boven verwachting.
Pinkpop;Thirty Seconds to Mars;Rebecca;2013;Ze maken er altijd een geweldige show van
Rock Werchter (inclusief Torhout);Daft Punk;Hilje;1997;surrealistisch, alsof ik op een andere planeet stond!
Rock Werchter (inclusief Torhout);Daft Punk;Casper;1997;Dansen op Daft Punk zonder je voeten te kunnen bewegen door de diepe modder!
Rock Werchter (inclusief Torhout);Daft Punk;Ruud;1997;Het was mijn eerste festival. Op de eerste dag barstte er een wolkbreuk los en de rest van het festival was koud en nat. Als een van de laatste optredes Daft Punk gezien. Toen op een sidestage dansend met twee dagen oude modder, tot op mijn enkels erin, maar wat was het een feest.
Rock Werchter (inclusief Torhout);Editors;Marit;2013;Ze waren de afsluiter dus we stonden met 60000 man voor de mainstage. Ze gaven een geweldige show, compleet met vuurwerk. Iedereen ging helemaal los inclusief de band.
Rock Werchter (inclusief Torhout);Editors;Brian;2012;Eerste festival, ik was net 18, kende alleen Pappillon, ging dus redelijk blanco dat optreden in en werd helemaal weggeblazen. Ze geven zo'n enorme show, hij zingt loepzuiver. Niet te geloven hoe goed.
Rock Werchter (inclusief Torhout);Arcade Fire;Bas;2017;Zag ze live op rock Werchter, maar vooral was het het wachtmuziekje tussen de bands door vorige jaar op de wat kleinere festivals. Dan moest Luc bier halen, Michael ging piesen en ik stond dan te wachten en hoorde dan bijna altijd Arcade Fire.
Rock Werchter (inclusief Torhout);David Bowie;Cees Jan de Boer;1997;Helemaal vooraan bij David Bowie. Ik fan van oude Bowie  en niet van de jaren negentig platen. Hij was bovendien de ouwe lul tussen een moderne 1997 line up. Maar kom, daarna waren The Chemical Brothers dus waarom ook niet. Hop naar voren en op tijd aan het hek. En toen kwam ie... zelden zoiets gezien. Wat een man!  Als de duivel zef stond ie daar. Nog nooit zoveel charisma gezien! Deze man dwong je gewoon naar hem te kijken en op je als een religieuze ervaring op de knietjes te gaan. Alleen maar hoe hij er stond. Laat de muziek maar zitten en ademloos zitten kijken
Rock Werchter (inclusief Torhout);Foo Fighters;Ellen;2017;Het was superlekker weer, het bier was goed, ik stond er met mn vriend en een paar van zijn collega's bijna helemaal vooraan. Het was episch.  Bizar goed hoe ze het hele publiek meekregen en ieder bandlid zo zat te knallen. Er komt zoveel energie van ze af, zelfs de grootste chagerijn uit het publiek krijgen ze mee. Het was rond etenstijd, iedereen had honger en moest plassen, maar iedereen bleef tot het einde. 
Rock Werchter (inclusief Torhout);Iggy Pop;Eva;2016;Ik wist uberhaupt niet of hij het ging redden tot het einde van het optreden, hij ging er zo vol in. Uiteindelijk is hij van het podium afgedragen.
Rock Werchter (inclusief Torhout);Kings of Lion;Danielle;2009;Altijd ruig en vol energie, niet lullen maar poetsen.
Rock Werchter (inclusief Torhout);Limp Bizkit;Anha;2010;
Rock Werchter (inclusief Torhout);Mumford and son;Julia;2012;Hoofdpodium, eind van de avond, zonnetje zakt langzaam naar beneden achter het podium, hele volle weide met mensen die allemaal enthousiast meedoen. Alleen Marcus Mumford had die zomer zijn hand gebroken en kon nu niet meedoen. Beetje verloren zonder zijn gitaar, maar de band kreeg alsnog het publiek mee. Iedereen was een beetje aangeschoten en zong keihard mee.
Rock Werchter (inclusief Torhout);Passenger;Marcella;2017;"Het was in de barn, het overdekte podium, was wat intiemer, hij kan leuk vertellen voordat hij gaat zingen. Hij vertelde over zijn straatmuzikanten leven, wat hem gelukkig maakte. Door al het reizen miste hij ook heel veel. Hij vroeg aan het publiek: ""wat maakt jou nou gelukkig?"". Ik ga al jaren naar werchter, maar dit jaar was ik net geopereerd aan mijn heup en dit was het eerste festival waar ik zonder pijn kon genieten van de muziek. Ik moest eraan denken, en bedacht me 'wat een mooi moment eigenlijk' en werd een beetje emotioneel toen hij begon met spelen. Maar ik was met een groep vriendinnen dus probeerde het een beetje te verbergen, recht vooruit blijven kijken, voorzichtig met je hand het traantje wegpinken. Maar toen het nummer was afgelopen en ik om me heen keek zaten al mijn vriendinnen ook te janken."
Rock Werchter (inclusief Torhout);Patrick Watson;Jerry Vermanen;2008;Rock Werchter had destijds 2 podia: een grote (waar metalband Slayer speelde) en een kleine, waar Patrick Watson zou optreden. Ik houd niet van metal, dus Slayer viel af. Ik kende Watson ook nog niet, dus het zou een verrassing worden. Als je Watson kent: het is redelijk kalme muziek. Dus terwijl ik een van mijn huidige favoriete artiesten op een festival tegenkwam, galmde op het grote podium daarnaast de metal-ellende van Slayer. Een van mijn mooiste muziekherinneringen.
Rock Werchter (inclusief Torhout);Prince;Joost Broerse;2010;Rock Werchter 2010, een bloedhete dag met tropische temperaturen, broeierig warm met 32 graden Celcius. Naast allerlei andere artiesten gingen wij voor Prince, waarvoor wij sinds 1990 al heel Europa afreisden. Mensen stroomden toe van alle kanten toen Prince, veel vroeger dan aangekondigd, rond half tien al begon. Ook al was het grote veld nog maar halfvol, de sfeer werd meteen gezet: 'Let's go crazy', '1999', waarop 'Little red Corvette' en 'Controversy' volgden. Onze toen nog ‘living legend’ was in topvorm. Prince zette nog 'Hot summer' in, waarna een gigantisch onweer losbrak tijdens het concert en een abrupt einde kwam aan de verstrengende hitte. Knallende bliksem langs alle kanten en een stortbui die zijn gelijke niet kent dwongen ons te schuilen op de schaarse plekjes die held veld biedt. Hét sein om 'Purple rain' naar voren te brengen in de set - een magisch moment, met een lichtshow van Moeder Natuur. 'The rain has gone', riep Prince, maar nauwelijks waren zijn woorden koud of de regen viel met bakken uit de lucht. Het maakte van 'Purple Rain' een wonderlijk, haast magisch moment. Zo wordt muziek nooit meer gemaakt! '
Rock Werchter (inclusief Torhout);Radiohead;Esm√©e;2017;Vooraan staan en dan het hele publiek Karma police horen zingen: ‚Äòfor a minute there, I lost myself, I lost myself‚Äô
Rock Werchter (inclusief Torhout);Smashing Pumpkins;Hilje;1997;Ik werd uitgedaagd om te crowdserven, stond helemaal achteraan, kreeg een voetje, crowservend tot vlak voor de beveiliging, stond ik ineens met mijn neus vooraan bij deze legendarische band.
Rock Werchter (inclusief Torhout);Stromae;Fieke;2014;
Rock Werchter (inclusief Torhout);The Opposites;Fieke;2014;Thunder!
Rock Werchter (inclusief Torhout);Vampire Weekend;Rens;2013;De hele weide ging los op het he he he moment. Dat is springen en dat is leuk!
Sziget;Florence and the Machine;Maud;2015;Mijn vriendinnen vonden het al snel prima, maar ik bleef swingen op de muziek. Ik had haar nooit eerder live gezien maar was meteen verkocht
Sziget;Hurts;Wijnand;2012;Net voordat de zon onderging, het was al dagen droog, het grasveld was binnen een week een sahara vol stuifzand geworden. Ik kwam het veld van de mainstage oplopen en liep door de stofwolk en kon het podium nog niet zien, maar hoorde al 'wonderfull life', dat was een magisch moment.
Sziget;M83;Alex;2016;Eerste keer Sziget, ik keek heel erg uit naar die dag, o.a. Muse stond op de planning, hadden we allemaal al achter de rug. Het was een beetje een lome dag, je gaat een beetje lopen over het festival terrein zonder een duidelijk plan en tegen het einde van de avond kwamen we in de A38 tent, een hele donkere tent, er begon iets te spelen, ik had geen idee. Ze hadden geen spotlight op zichzelf, er kwam alleen licht van achter dus je zag alleen silhouetten. Het sprak me aan, de mysterie.
Sziget;Noel Gallagher;Mike;2016;Ik stond in de bloedhoere hitte vooraan bij de main stage, omringd door dronken Britten. Hij speelde een strakke set, maakte weinig woorden vuil aan interactie met het publiek op een sneer naar Rianna Catwalk na. Misschien niet het beste concert ooit, maar don't look back in anger was echt het mooiste festival moment ooit.
Sziget;Tame Impala;Peter;2013;Ze stonden in een bijna lege tent terwijl David Guetta op de main stage stond. De misschien 100 man die wel bij Tame Impala stonden gaven als encore: Fuck David Guetta. 10 minuten lang. Beste live festival act die ik ooit live heb gezien.
Sziget;Tom Odell;Dylan;2017;Sziget   Tom Odell = eargasm
Pukkelpop;Bear's Den;Luuk;2016;Ze kwamen na Muford and Sons en als ik ze nu hoor ben ik direct terug op dat festival.
Pukkelpop;Black Keys;Lotte;2012;Hou van die scheurende gitaren.
Pukkelpop;Elbow;Jacomijn;2001;We liepen weg bij de hoofdact omdat we die niet leuk vonden en toen belandde we in een hele kleine tent met 40-50 mensen. De sfeer was heel erg intiem. Toen we weggingen bleek de tent helemaal volgelopen. En toch bleef die sfeer zo intiem.
Pukkelpop;Major Lazer;Rachelle;2015;"Hoe major lazor het publiek meekrijgt, ongekend. Nog nooit zo veel blote borsten bij elkaar gezien toen ze vroegen ""come on ladies, take of your shirts!'"
Pukkelpop;Mumford and son;Julia ;2017;Confettiekannonen gingen af, het hele publiek stond te springen, geweldig.
Best kept secret;Arcade Fire;Jaap;2017;
Best kept secret;Editors;Sanne;2016;Al 10 jaar fan
Best kept secret;Wilco;Jaap;2016;
Concert at Sea;Direct;Marjolein;2014;Mijn allereerste festival, had alleen dagkaarten voor zaterdag. De allereerste band ooit die ik op een festival zag.
Concert at Sea;Kane;Florine;2013;Veel indruk op me gemaakt
Down the Rabbit Hole;de Staat;Willemijn;2014;Ze deden een fanfare versie van Input Source select als opening van het festival. Ze liepen over het terrein met een fanfare band achter zich aan, briljant.
Down the Rabbit Hole;Mura Masa;Mike;2016;Ik weet nog goed dat we langs een tent liepen en we hoorden een warme bas en dikke vette beats. We zijn naar binnen gegaan en hebben daar tot het einde staan dansen. Pas later kwamen we erachter dat het Mura Masa was.
Appelsap;Fresku;Jeremy;2017;Wat een fantastisch optreden, ben daarna naar huis gegaan omdat ik wist dat het niet beter zou worden
Awakenings;Len Faki;Jordy;2017;Mijn eerste festival en Len Faki is mij het meest bijgebleven 
Bevrijdingsfestival;Heaven;Florence;2018;Had ze al een paar keer live gezien, maar op bevrijdingsfestival waren ze steengoed. Naast de zeer gevoelig nummers ook goed dansbare nummers die live ook goed overkomen.
Cactusfestival Brugge;Regina Spector;Anja;2010;Ze had net een bandlid verloren en trad toch op. Het was emotioneel, mooi en heel indrukwekkend
Eurosonic Noorderslag;Vant;Danielle;2016;De hype rondom Vant begon, als haringen in een tonnetje stonden we in de zaal tegen de bar geplakt. En bij de eerste tonen van Parking lot onstond een moshpit, heerlijk.
Fields of Rock;Audioslave;Max;2005;Chris Cornell stond in zijn eentje op het podium. Speelde op een volledig glimmende gitaar 'black hole sun' todat Tom Morello erbij kwam om de gitaar te versterken, in de zon.
Forta Rock XL;Rammstein;Dennis;2013;Halverwege Du hast vlogen er vuurpijlen over het publiek en knalde kapot op het podium. Wat een show!
Freshtival;Sean Paul;Leonie;2018;Een uur lang terug naar mijn jeugd
Glastonbury;Tobias Ben Jacob;Nora;2016;In een kleine tent, waar verder niemand was, behalve een paar mensen die de avond daarvoor hun eigen tent niet hadden gehaald,  stonden om 12 uur 's-middags twee gasten in een zwembroek, een met een gitaar en een met een bas, hele mooie muziek te maken. Een echte 'ontdekking'.
Mysteryland;Dead Mou5;Wijnand;2017;Niet een typishe festival band, maar zag ze in een kleine tent aan het eind van de dag, de zon die bijna onder gaat, je hebt al een paar biertjes op, echt een gevoel van vrijheid. Brengt je in extase.
Nieuw Zaailand;Kyteman;Tjitske;2012;Ze opende het festival, ik kende ze nog niet, maar werd meegenomen door een paar vriendinnen. Het werd met sorry afgesloten, zo goed en met veel emotie gespeeld.
Paaspop;And so i watch you from afar;Anja;2011;Verrassend goed, boeiend van begin tot eind
Parkcity Live;Racoon;Yvette;2016;top
Parkfeest;Big Bazzookas;Kaj Moerenhout;2018;
Parkpop;Bloodhound Gang;Anja;2000;Feestje!
Trailerpop;Green Lizard;Anja;2002;Band was super, festival gezellig
Zwarte Cross;Chef'Special;Esmee;2017;Hij vertelde dat de laatste keer dat zijn vader mee was, was op zwarte cross, daarna overleed zijn vader. Dat gaf het concert een extra lading. Ze brengen zoveel over, het is alsof je in een huiskamer met ze staat, maar het zijn zoveel duizend man.
